Comment,Designator,Footprint,LCSC,Quantity
DC IN,J1,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,C114916,1
Raspberry PI 3A/3B,A1,Raspberry_Pi_3B_Socketed_THT_FaceDown_MountingHoles,C132132,1
USB_C_Receptacle_USB2.0,J4,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C165948,1
10k*,"R10,R11,R12,R13,R14,R3,R4,R5,R8,R9",R_0805_2012Metric,C17414,10
1k,"R1,R2",R_0805_2012Metric,C17513,2
470*,"R6,R7",R_0805_2012Metric,C17710,2
Buzzer,BZ1,Buzzer_12x9.5RM7.6,C252916,1
DMG2302U,"Q1,Q2,Q3,Q4",SOT-23,C427390,4
100nF,C1,C_0805_2012Metric,C49678,1
7406,U1,SO-14_3.9x8.65mm_P1.27mm,C5592,1
470uF,C6,CP_Elec_10x7.7,C88671,1
